sn,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,class
22513,235,473,300,718,2785,3938,4152,4070,1317,723,Roshan
22514,954,1256,1594,1489,2131,2422,2286,2576,2052,1889,Roshan
22515,297,526,374,947,2197,3091,3920,3139,1501,1110,Roshan
22516,268,523,350,846,2604,3601,3972,3775,1508,1025,Roshan
22517,260,509,286,722,2927,4188,4528,4345,1413,807,Roshan
22518,330,590,501,974,2060,2846,3808,3015,1663,1371,Roshan
22519,315,561,481,914,2634,3746,3798,3823,1621,1011,Roshan
22520,568,803,843,951,2252,2923,2522,3105,1439,1060,Roshan
22521,587,806,840,940,2368,3233,2994,3288,1489,1146,Roshan
22522,282,499,326,745,2749,3778,4100,3955,1431,862,Roshan
22523,234,455,301,663,2730,4180,4152,4264,1369,781,Roshan
22524,209,466,302,716,2842,4098,4348,4354,1308,736,Roshan
22525,592,827,935,974,2060,2846,2216,3015,1663,1371,Roshan
22526,376,615,476,1126,2009,2488,3730,2660,1719,1452,Roshan
22527,353,623,556,846,2604,3601,3476,3775,1508,1025,Roshan
22528,626,847,1046,1167,2140,2580,1736,2717,1779,1422,Roshan
22529,383,626,591,1118,2678,3351,3686,3638,1787,1317,Roshan
22530,246,474,299,757,2807,4149,4540,4186,1466,909,Roshan
22531,254,491,331,947,2307,3373,4364,3391,1482,1085,Roshan
22532,428,626,705,1118,2678,3351,3580,3638,1787,1317,Roshan
22533,355,550,410,1072,2130,2970,3916,2940,1646,1240,Roshan
22534,266,487,307,757,2807,4149,4520,4186,1466,909,Roshan
22535,297,526,374,947,2197,3091,3920,3139,1501,1110,Roshan
22536,276,444,365,940,2368,3233,4284,3288,1489,1146,Roshan
22537,246,477,304,716,2842,4098,4160,4354,1308,736,Roshan
22538,282,499,326,745,2749,3778,4100,3955,1431,862,Roshan
22539,257,462,301,705,2917,4459,4544,4482,1391,768,Roshan
22540,626,741,915,974,2060,2846,2160,3015,1663,1371,Roshan
22541,268,491,370,914,2634,3746,4040,3823,1621,1011,Roshan
22542,245,488,300,718,2785,3938,4136,4070,1317,723,Roshan
22543,263,454,308,753,3005,4231,4496,4512,1392,831,Roshan
22544,336,582,488,974,2060,2846,3786,3015,1663,1371,Roshan
22545,268,523,350,846,2604,3601,3972,3775,1508,1025,Roshan
22546,336,582,488,974,2060,2846,3786,3015,1663,1371,Roshan
22547,247,516,384,663,2730,4180,4082,4264,1369,781,Roshan
22548,543,667,695,803,2410,3343,2392,3393,1486,1074,Roshan
22549,480,738,870,1003,2237,2827,2494,3075,1453,1028,Roshan
22550,257,462,301,705,2917,4459,4544,4482,1391,768,Roshan
22551,234,455,301,663,2730,4180,4152,4264,1369,781,Roshan
22552,295,512,319,722,2927,4188,4668,4345,1413,807,Roshan
22553,234,450,392,951,2252,2923,4052,3105,1439,1060,Roshan
22554,374,561,473,1036,2227,2954,3806,3100,1623,1267,Roshan
22555,353,623,556,846,2604,3601,3476,3775,1508,1025,Roshan
22556,297,526,374,947,2197,3091,3920,3139,1501,1110,Roshan
22557,245,488,300,718,2785,3938,4136,4070,1317,723,Roshan
22558,559,789,846,1072,2130,2970,2320,2940,1646,1240,Roshan
22559,250,451,293,1003,2237,2827,4056,3075,1453,1028,Roshan
22560,289,515,319,947,2307,3373,4344,3391,1482,1085,Roshan
22561,272,480,286,753,3005,4231,4496,4512,1392,831,Roshan
22562,250,451,293,1003,2237,2827,4056,3075,1453,1028,Roshan
22563,334,543,556,1072,2130,2970,3704,2940,1646,1240,Roshan
22564,259,480,307,705,2917,4459,4620,4482,1391,768,Roshan
22565,272,517,397,902,2493,3490,3824,3547,1534,1012,Roshan
22566,276,444,365,940,2368,3233,4284,3288,1489,1146,Roshan
22567,528,689,841,1044,1639,2048,1588,2293,1681,1438,Roshan
22568,568,803,843,951,2252,2923,2522,3105,1439,1060,Roshan
22569,604,846,906,1022,2271,3199,2706,3330,1489,1060,Roshan
22570,481,689,750,1044,1639,2048,2646,2293,1681,1438,Roshan
22571,518,725,901,1003,2237,2827,2556,3075,1453,1028,Roshan
22572,244,466,389,947,2197,3091,3986,3139,1501,1110,Roshan
22573,592,827,935,974,2060,2846,2216,3015,1663,1371,Roshan
22574,336,582,488,974,2060,2846,3786,3015,1663,1371,Roshan
22575,246,474,299,757,2807,4149,4540,4186,1466,909,Roshan
22576,287,498,288,757,2807,4149,4644,4186,1466,909,Roshan
22577,249,472,368,803,2410,3343,4024,3393,1486,1074,Roshan
22578,257,462,301,705,2917,4459,4544,4482,1391,768,Roshan
22579,276,444,365,940,2368,3233,4284,3288,1489,1146,Roshan
22580,288,446,411,763,2696,3600,3986,3922,1410,881,Roshan
22581,305,525,439,803,2410,3343,3388,3393,1486,1074,Roshan
22582,260,509,286,722,2927,4188,4528,4345,1413,807,Roshan
22583,497,646,737,1044,1639,2048,2438,2293,1681,1438,Roshan
22584,543,667,695,803,2410,3343,2392,3393,1486,1074,Roshan
22585,263,454,308,753,3005,4231,4496,4512,1392,831,Roshan
22586,455,628,727,790,1999,2948,2644,2943,1475,1131,Roshan
22587,269,459,263,753,3005,4231,4560,4512,1392,831,Roshan
22588,249,472,368,803,2410,3343,4024,3393,1486,1074,Roshan
22589,523,806,846,1403,2193,2690,3240,2784,2164,1808,Roshan
22590,297,457,349,940,2368,3233,4292,3288,1489,1146,Roshan
22591,634,923,952,1208,1571,1590,2110,1681,1553,1185,Roshan
22592,675,975,949,1336,1679,1710,1982,1848,1650,1394,Roshan
22593,529,836,713,1143,1913,2109,2422,2339,1619,1025,Roshan
22594,521,832,818,1204,1690,1728,1816,1807,1513,1083,Roshan
22595,584,859,852,1251,1637,1806,1714,1882,1701,1191,Roshan
22596,675,975,949,1336,1679,1710,1982,1848,1650,1394,Roshan
22597,549,837,709,1204,1690,1728,1878,1807,1513,1083,Roshan
22598,483,736,653,1134,1844,2036,1942,2143,1530,974,Roshan
22599,594,888,897,1256,1719,1779,1804,1874,1639,1172,Roshan
22600,526,863,785,1295,1877,1969,1952,1978,1787,1368,Roshan
22601,577,841,759,1236,1655,1801,1876,1867,1513,1104,Roshan
22602,594,861,882,1240,1661,1834,1790,1877,1613,1161,Roshan
22603,570,841,808,1236,1655,1801,1834,1867,1513,1104,Roshan
22604,735,1092,1318,1462,1855,1881,2144,2133,2247,1741,Roshan
22605,577,861,814,1238,1719,1890,1890,2015,1729,1234,Roshan
22606,653,921,893,1319,1702,1799,1794,1793,1610,1238,Roshan
22607,592,866,896,1200,1584,1740,1758,1757,1560,1160,Roshan
22608,613,877,919,1258,1814,1944,1880,2040,1624,1142,Roshan
22609,622,932,957,1280,1601,1642,1896,1735,1684,1387,Roshan
22610,610,913,929,1240,1661,1834,1964,1877,1613,1161,Roshan
22611,634,871,999,1251,1637,1806,2000,1882,1701,1191,Roshan
22612,551,891,825,1196,1622,1693,1760,1763,1530,1100,Roshan
22613,570,874,870,1169,1691,1777,1848,1848,1495,1069,Roshan
22614,494,809,732,1204,1690,1728,1870,1807,1513,1083,Roshan
22615,590,877,854,1258,1814,1944,2302,2040,1624,1142,Roshan
22616,532,731,724,1233,1917,2111,2004,2277,1691,1055,Roshan
22617,587,947,890,1319,1702,1799,1846,1793,1610,1238,Roshan
22618,586,928,890,1312,1599,1779,2214,1811,1664,1282,Roshan
22619,587,880,857,1321,2088,2186,2306,2355,1784,1331,Roshan
22620,630,895,910,1281,1552,1672,1754,1711,1579,1200,Roshan
22621,598,841,879,1245,1675,1810,1736,1905,1594,1179,Roshan
22622,646,936,1009,1321,2088,2186,2024,2355,1784,1331,Roshan
22623,559,860,860,1223,1771,1778,1880,1996,1817,1304,Roshan
22624,584,909,901,1281,1552,1672,1796,1711,1579,1200,Roshan
22625,577,861,814,1238,1719,1890,1890,2015,1729,1234,Roshan
22626,582,879,879,1251,1637,1806,1766,1882,1701,1191,Roshan
